locationId,providerId,locationName,registrationStatus,registrationDate,addressLine1,town,postcode,region,localAuthority,constituency,latitude,longitude,phoneNumber,regulatedActivities,gacServiceTypes,overallRating,overallRatingDate,numberOfBeds,website
1-13401759303,1-4573404418,Intrinsic Care- Canterbury,Registered,22/06/2022,Lullingstone Court,Canterbury,CT1 2NX,South East,Kent,Canterbury,51.2769515,1.0776833,1634931226,Personal care,Homecare agencies,,,0,
1-13449471430,1-4095054376,Angelus Homecare - Dartford,Registered,10/08/2022,25 West Hill,Dartford,DA1 2EL,South East,Kent,Dartford,51.445336,0.2119281,,Personal care,Homecare agencies,,,0,
1-134761522,1-101664994,MiHomecare - Ramsgate,Registered,04/01/2011,Mildmay Court,Ramsgate,CT11 8JX,South East,Kent,East Thanet,51.336423,1.425227,3331218701,Personal care,Homecare agencies,Good,12/04/2018,0,www.mihomecare.com
1-13506557514,1-10751520494,Adonai Healthcare Services,Registered,07/07/2022,Office 2,Chatham,ME4 6BA,South East,Medway,Rochester and Strood,51.3823037,0.5214162,7545701020,Personal care,Homecare agencies,,,0,www.adonaihealthcareservices.co.uk
1-13536647790,1-10233054426,Nomase Supported Limited,Registered,12/07/2022,Office 1.4,Dartford,DA1 2JH,South East,Kent,Dartford,51.4444522,0.2123269,7935757467,Personal care,Homecare agencies; Supported living,,,0,www.nomase.co.uk
1-136778918,1-120627501,Terrance House,Registered,20/01/2011,7-19 Belgrave Road,Margate,CT9 1XQ,South East,Kent,East Thanet,51.385712,1.379888,1843224879,Personal care; Accommodation for persons who require nursing or personal care,Residential homes; Supported living,Good,24/01/2020,48,
1-13726468975,1-7707868406,Ashforhire Professionals Limited,Registered,09/08/2022,152 Beecholme Drive,Ashford,TN24 9BZ,South East,Kent,Ashford,51.1635343,0.878157,7735269399,"Personal care; Treatment of disease, disorder or injury",Homecare agencies; Supported living,,,0,
1-1375321078,1-1320123386,Fredrick's House,Registered,25/06/2014,13a St Stephens Court,Canterbury,CT2 7JP,South East,Kent,Canterbury,51.2885141,1.0795613,1227634410,Personal care,Supported living,Good,06/07/2018,0,
1-13788254565,1-13128817509,Neptune Solutions UK Ltd,Registered,23/08/2022,43 Penny Cress Road,Sheerness,ME12 3AN,South East,Kent,Sittingbourne and Sheppey,51.4111283,0.7897956,7881625246,Personal care,Homecare agencies; Supported living,,,0,
1-13924963082,1-12590502100,WeKare Personal Assistants Ltd,Registered,08/09/2022,Small Office,Deal,CT14 6EL,South East,Kent,Dover and Deal,51.2233363,1.4026786,1304268225,Personal care,Homecare agencies,,,0,www.we-kare.co.uk
